	Unnamed: 0	path	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
138076	418241	common_voice_en_18946796.mp3	They are mostly found on weakly electric fishes such as gymnotiforms and mormyrids.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
464842	940149	common_voice_en_27147295.mp3	Today, the entire line is unfit for oil transport.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
401686	847093	common_voice_en_22441052.mp3	Public high school students who reside there attend Maine East High School.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
424787	872445	common_voice_en_27474289.mp3	This being so, he should be in a position to supply the demand.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
249762	612529	common_voice_en_21269344.mp3	Think prog-rock bollocks, baby!		2	1	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
368038	798297	common_voice_en_22299599.mp3	This work includes education, lobbying government, activism and community work.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
272016	650481	common_voice_en_21926205.mp3	Carter was born in Denver, Colorado.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
471695	947002	common_voice_en_27036278.mp3	There is a roundabout as in the apparatus for second childhood.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
316751	718827	common_voice_en_23541084.mp3	It is the band's best-selling album to date.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
159562	457472	common_voice_en_18666500.mp3	It is the biggest telescope in the world.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
55223	241844	common_voice_en_20393874.mp3	AudioNova Group is Sonova's international professional service network of hearing care providers.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
325564	733975	common_voice_en_26984548.mp3	Following Harding's death, Britton wrote what is considered to be the first kiss-and-tell book.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
193679	516851	common_voice_en_20063482.mp3	From there, Kanazawa believes the Jion kata were spread into the Tomari region.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
367876	798135	common_voice_en_22292494.mp3	The terms latent and sensible are correlative.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
423668	871326	common_voice_en_27186287.mp3	The other half of the prize was awarded to Roy J. Glauber.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
324139	732549	common_voice_en_21753148.mp3	The Dutch sent a warship to Aves.		2	0	thirties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
476573	956312	common_voice_en_27075238.mp3	Polkas almost always have a time signature.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
463858	939162	common_voice_en_22320019.mp3	Lostprophets confirmed that they would tour Australia.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
272099	650564	common_voice_en_22027741.mp3	Southwark tube station is at the western end.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
168200	471981	common_voice_en_21943612.mp3	The Valley Center school district mascot is the Hornets.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
378094	811640	common_voice_en_22334552.mp3	Free refers to independence of the university from both the State and Church.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
317143	719219	common_voice_en_23619619.mp3	He publicly accused his second in command, Francis Shackleton, of the theft.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
362013	787711	common_voice_en_27228398.mp3	The district includes some of the finest examples of brownstones with large front gardens.		2	1	fourties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
475414	950721	common_voice_en_27460963.mp3	Niki Karimi was born and raised in Tehran, Iran.		2	1	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
471521	946828	common_voice_en_27013405.mp3	Her part in the Midgley household was paramount.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
472923	948230	common_voice_en_27230055.mp3	The second was built with a widened Cromwell track and different armoured skirts.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
219652	563719	common_voice_en_23627651.mp3	However, the height of the cross and foggy weather made filming difficult.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
236115	590116	common_voice_en_25273741.mp3	Occasionally adults will consume insects, especially caterpillars, as well as fruits.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
323966	732376	common_voice_en_21721940.mp3	It was well received, although it didn't achieve their earlier chart success.		2	0	thirties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
105835	355900	common_voice_en_23583167.mp3	He reached the rank of Captain and was awarded the Military Cross.		2	0	twenties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
20522	137613	common_voice_en_32321973.mp3	Belfort retired from the stage due to ill health.		2	0	thirties	male_masculine	india and south asia (india, pakistan, sri lanka)		en	
409127	854538	common_voice_en_27474033.mp3	His wife eventually fled to Hungary to avoid further trouble.		2	0	twenties	female_feminine	india and south asia (india, pakistan, sri lanka)		en	
